Title,TV Network,Month release
A Place in the Sun (South Korean TV series),KBS2,June 3
At Eighteen,JTBC,July 22
Babel (TV series),TV Chosun,January 27
The Banker (TV series),MBC TV,March 27
Arthdal Chronicles,tvN,Part 1-2
Angel's Last Mission: Love,KBS2,May 22
Abyss (TV series),tvN,May 6
Different Dreams,MBC TV,May 4
Designated Survivor: 60 Days,tvN,July 1
The Crowned Clown,tvN,January 7
Dazzling (TV series),JTBC,February 11
Vagabond (TV series),SBS,"September 20, 2019"
"Beautiful Love, Wonderful Life",KBS2,"September 28, 2019"
The Wind Blows (TV series),JTBC,May 27
Best Chicken,MBN,January 2
When the Camellia Blooms,KBS2,"September 18, 2019"
When the Devil Calls Your Name,tvN,July 31
Big Issue (TV series),SBS TV,March 6
We K-Pop,KBS World,"July 12, 2019"
Welcome 2 Life,MBC TV,August 5
Welcome to Waikiki 2,JTBC,March 25
Watcher (TV series),OCN,July 6
VIP (South Korean TV series),SBS TV,"October 7, 2019"
Voice 3,OCN,May 11
Trio’s Childcare Challenge,KBS,"July 6, 2019"
Traveler (South Korean TV series),JTBC,21 February – 25 April 2019
TMI News,Mnet,"April 25, 2019"
The Tale of Nokdu,KBS2,"September 30, 2019"
Trap (TV series),OCN,February 9
Touch Your Heart,tvN,February 6
Beautiful World (TV series),JTBC,April 5
Super Hearer,tvN,June 16
Stove League,SBS TV,November 2019
The Secret Life of My Secretary,SBS TV,May 6
Show! Audio Jockey,tvN,March 17
Spring Turns to Spring,MBC TV,January 23
Special Labor Inspector,MBC TV,April 8
Secret Boutique,SBS TV,"September 18, 2019"
Rewind (South Korean TV series),Channel A,"July 17, 2019"
The School Nurse Files,Netflix,2019
Rookie Historian Goo Hae-ryung,MBC TV,July 17
Search: WWW,tvN,June 5
Save Me 2,OCN,May 8
The Running Mates: Human Rights,OCN,"September 18, 2019"
Romance Is a Bonus Book,tvN,January 26
Be Melodramatic,JTBC,August 9
Prosecutor Civil War,JTBC,December 2019
Player 7,tvN,"July 14, 2019"
Queendom (TV series),Mnet,"August 29, 2019 –"
Perfume (2019 TV series),KBS2,June 3
Produce X 101,Mnet,May 3
Persona (TV series),Netflix,"April 11, 2019"
Prison Life of Fools,tvN,March 16
Possessed (TV series),OCN,March 6
The Ranksters,tvN,July 17
Pegasus Market,tvN,"September 20, 2019"
Psychopath Diary,tvN,2019
Partners for Justice (season 2),MBC TV,June 3
Nokdu Flower,SBS TV,April 26
No Second Chance (TV series),MBC TV,November 2019
One Spring Night,MBC TV,May 22
"My Lawyer, Mr. Jo 2: Crime and Punishment",KBS2,January 7
The Night of Hate Comments,JTBC2,"June 21, 2019"
Naturally (TV series),MBN,"August 3, 2019 –"
My First First Love,Netflix,April 18
My Fellow Citizens!,KBS2,April 1
My Country: The New Age,"JTBC, Netflix","October 4, 2019"
My Absolute Boyfriend,SBS TV,May 15
Mother of Mine (TV series),KBS2,March 23
Miss Trot,TV Chousun,February 28 –
Loss Time Life,MBN,February 13
Liver or Die,KBS2,January 9
Love in Sadness,MBC TV,February 23
Little Forest (TV series),SBS,12 August 2019
The Lies Within,OCN,"October 12, 2019"
Miss Lee,tvN,"September 25, 2019"
Melting Me Softly,tvN,"September 28, 2019"
Leverage (South Korean TV series),TV Chosun,"October 13, 2019"
Level Up (South Korean TV series),MBN,July 10
Left-Handed Wife,KBS2,January 2
Legal High (South Korean TV series),JTBC,February 8
Laborhood on Hire,tvN,"August 24, 2019 –"
Korean Hostel in Spain,tvN,March 15
Kim Is a Genius,JTBC,November 2019
Kingdom (South Korean TV series),Netflix,"January 25, 2019"
Kill It,OCN,March 23
Justice (2019 TV series),KBS2,July 17
Joseon Survival Period,TV Chosun,June 8
I Wanna Hear Your Song,KBS2,August 5
Item (TV series),MBC TV,February 11
Home for Summer,KBS1,"April 29, 2019"
The Hit (South Korean TV series),KBS,February 8
He Is Psychometric,tvN,March 11
Hotel del Luna,tvN,July 13
Her Private Life (TV series),tvN,April 10
The Great Show,tvN,"August 26, 2019"
Hangout with Yoo,MBC,"July 27, 2019 –"
Haechi (TV series),SBS TV,February 11
Funding Together,MBC,"August 18, 2019 –"
Hell Is Other People,OCN,"August 31, 2019"
Graceful Family,MBN,"August 21, 2019"
The Golden Garden,MBC TV,"July 20, 2019"
Extracurricular (TV series),Netflix,2019
Doctor Prisoner,KBS2,March 20
Doctor Detective,SBS TV,July 17
Confession (2019 TV series),tvN,March 23
Doctor John (TV series),SBS TV,July 19
Emergency Love Landing,tvN,November 2019
The Fiery Priest,SBS TV,February 15
Flower Crew: Joseon Marriage Agency,JTBC,"September 16, 2019"
Coffee Friends,tvN,January 4
Class of Lies,OCN,July 17
Chocolate (TV series),JTBC,December 2019
Chief of Staff (TV series),JTBC,"June 14, 2019"
Catch the Ghost,tvN,"October 21, 2019"
Blessing of the Sea,MBC,January 14
Extraordinary You,MBC TV,"October 2, 2019"
